"ID","x","y","curM_Wclm_mean","curZ_Wclm_mean","sal_bottom_mean","sal_bottom_range","temp_bottom_mean","temp_bottom_range","mean_turb","mean_prec","min_prec","chl_Wclm_mean","dox_Wclm_mean","nit_Wclm_mean","pco_Wclm_mean","ph_Wclm_mean","pho_Wclm_mean","phyto_Wclm_mean","ppn_Wclm_mean"
"GSA6_1",0.81984008,40.31656886,0.003922719329146,-0.00013672997842,37.9956251766782,0.832920835632182,14.765649971442,5.2655888068427,0.061353246805523,1651857698982.52,120810638816538,0.212649613367663,205.150320711763,1.09144689708652,396.256451717498,8.06571495285889,0.072978924586007,0.00125612463336,6.65E-09
"GSA6_2",0.81984008,40.31656886,0.003922719329146,-0.00013672997842,37.9956251766782,0.832920835632182,14.765649971442,5.2655888068427,0.061353246805523,1651857698982.52,120810638816538,0.212649613367663,205.150320711763,1.09144689708652,396.256451717498,8.06571495285889,0.072978924586007,0.00125612463336,6.65E-09
"GSA6_3",0.81984008,40.31656886,0.003922719329146,-0.00013672997842,37.9956251766782,0.832920835632182,14.765649971442,5.2655888068427,0.061353246805523,1651857698982.52,120810638816538,0.212649613367663,205.150320711763,1.09144689708652,396.256451717498,8.06571495285889,0.072978924586007,0.00125612463336,6.65E-09
"GSA6_4",0.81984008,40.31656886,0.003922719329146,-0.00013672997842,37.9956251766782,0.832920835632182,14.765649971442,5.2655888068427,0.061353246805523,1651857698982.52,120810638816538,0.212649613367663,205.150320711763,1.09144689708652,396.256451717498,8.06571495285889,0.072978924586007,0.00125612463336,6.65E-09
"GSA6_5",0.81984008,40.31656886,0.003922719329146,-0.00013672997842,37.9956251766782,0.832920835632182,14.765649971442,5.2655888068427,0.061353246805523,1651857698982.52,120810638816538,0.212649613367663,205.150320711763,1.09144689708652,396.256451717498,8.06571495285889,0.072978924586007,0.00125612463336,6.65E-09
"GSA6_6",0.81984008,40.31656886,0.003922719329146,-0.00013672997842,37.9956251766782,0.832920835632182,14.765649971442,5.2655888068427,0.061353246805523,1651857698982.52,120810638816538,0.212649613367663,205.150320711763,1.09144689708652,396.256451717498,8.06571495285889,0.072978924586007,0.00125612463336,6.65E-09
"GSA6_7",0.81984008,40.31656886,0.003922719329146,-0.00013672997842,37.9956251766782,0.832920835632182,14.765649971442,5.2655888068427,0.061353246805523,1651857698982.52,120810638816538,0.212649613367663,205.150320711763,1.09144689708652,396.256451717498,8.06571495285889,0.072978924586007,0.00125612463336,6.65E-09
"GSA6_8",0.81984008,40.31656886,0.003922719329146,-0.00013672997842,37.9956251766782,0.832920835632182,14.765649971442,5.2655888068427,0.061353246805523,1651857698982.52,120810638816538,0.212649613367663,205.150320711763,1.09144689708652,396.256451717498,8.06571495285889,0.072978924586007,0.00125612463336,6.65E-09
"GSA6_9",0.81984008,40.31656886,0.003922719329146,-0.00013672997842,37.9956251766782,0.832920835632182,14.765649971442,5.2655888068427,0.061353246805523,1651857698982.52,120810638816538,0.212649613367663,205.150320711763,1.09144689708652,396.256451717498,8.06571495285889,0.072978924586007,0.00125612463336,6.65E-09
"GSA6_10",0.81984008,40.31656886,0.003922719329146,-0.00013672997842,37.9956251766782,0.832920835632182,14.765649971442,5.2655888068427,0.061353246805523,1651857698982.52,120810638816538,0.212649613367663,205.150320711763,1.09144689708652,396.256451717498,8.06571495285889,0.072978924586007,0.00125612463336,6.65E-09
